,ru_RU
LANGUAGE_NAME,"Русский"

UI_TUTORIAL,"Обучение"
UI_PLAY,"Играть"
UI_SETTINGS,"Настройки"
UI_LANGUAGE,"Язык"
UI_SHADENOMICON,"Тененомикон"
UI_HALL_OF_FAME,"Зал славы"
UI_PATCH_NOTES,"Обновления"
UI_BACK,"Назад"

UI_LOADING,"Загрузка..."
UI_MENU,"Меню"
UI_CONTINUE,"Продолжить"
UI_EXIT,"Выход"
UI_RESTART,"Рестарт"
UI_FEEDBACK,"Обратная связь"
UI_ENTER_TITLE_HERE_OPTIONAL,"Введите заголовок... (необязательно)"
UI_TYPE_MESSAGE_HERE,"Введите сообщение..."
UI_SEND,"Отправить"
UI_SENT,"Отправлено"
UI_GRAPHICS_SETTINGS,"Настройки графики"
UI_FULLSCREEN_MODE,"Полноэкранный режим"
UI_BACKGROUND_MIST,"Фоновый туман"
UI_SCREEN_SHADER,"Эффект экрана"
UI_FRACTIONAL_SCALING,"Дробное масштабирование"

UI_AUDIO_SETTINGS,"Настройки аудио"
UI_SOUND_VOLUME,"Громкость звуков"
UI_ENABLE_MUSIC,"Включить музыку"
UI_MUSIC_VOLUME,"Громкость музыки"
UI_MUFFLE_MUSIC_OUT_OF_COMBAT,"Заглушить музыку вне боя"

UI_ENTER_PLAYERNAME,"Введите имя игрока..."
UI_ENTER,"Вход"
UI_RANDOMIZE,"Случайно"
UI_ENTER_A_RANDOM_NAME,"Выбрать случайное имя."

UI_MUSIC,"Музыка"
UI_TOGGLE_MUSIC_PLAYER,"Вкл./выкл. музыку."
UI_PREVIOUS_TRACK,"Предыдущий трек"
UI_PREVIOUS_MUSIC_TRACK_MSG,"Сыграть предыдущий музыкальный трек."
UI_NEXT_TRACK,"Следующий трек"
UI_NEXT_MUSIC_TRACK_MSG,"Сыграть следующий музыкальный трек."
UI_LEVEL,"Уровень"
UI_LEADERBOARD,"Таблица лидеров"
UI_RANK,"Ранг"
